group	colour	fill	tooltip
1	#000000	#FFFCFB	1 combos with Area under both=0, Prop. predictions in finite interval=0 for size 0.001
2	#000000	#FFF9F7	2 combos with Area under both=0, Prop. predictions in finite interval=0.125 for size 0.001
3	#FFFFFF	#FFFFFF	0 combos with Area under both=0, Prop. predictions in finite interval=0.25 for size 0.001
4	#FFFFFF	#FFFFFF	0 combos with Area under both=0, Prop. predictions in finite interval=0.375 for size 0.001
5	#FFFFFF	#FFFFFF	0 combos with Area under both=0, Prop. predictions in finite interval=0.5 for size 0.001
6	#FFFFFF	#FFFFFF	0 combos with Area under both=0, Prop. predictions in finite interval=0.625 for size 0.001
7	#FFFFFF	#FFFFFF	0 combos with Area under both=0, Prop. predictions in finite interval=0.75 for size 0.001
8	#000000	#FFF6F3	3 combos with Area under both=0.2, Prop. predictions in finite interval=0.125 for size 0.001
9	#000000	#FFF1EC	5 combos with Area under both=0.2, Prop. predictions in finite interval=0.25 for size 0.001
10	#000000	#FFFCFB	1 combos with Area under both=0.2, Prop. predictions in finite interval=0.375 for size 0.001
11	#FFFFFF	#FFFFFF	0 combos with Area under both=0.2, Prop. predictions in finite interval=0.5 for size 0.001
12	#000000	#FFFCFB	1 combos with Area under both=0.4, Prop. predictions in finite interval=0.125 for size 0.001
13	#000000	#FFE5DC	9 combos with Area under both=0.4, Prop. predictions in finite interval=0.25 for size 0.001
14	#000000	#FFE3D8	10 combos with Area under both=0.4, Prop. predictions in finite interval=0.375 for size 0.001
15	#000000	#FFF9F7	2 combos with Area under both=0.4, Prop. predictions in finite interval=0.5 for size 0.001
16	#FFFFFF	#FFFFFF	0 combos with Area under both=0.4, Prop. predictions in finite interval=0.625 for size 0.001
17	#FFFFFF	#FFFFFF	0 combos with Area under both=0.4, Prop. predictions in finite interval=0.75 for size 0.001
18	#000000	#FFFCFB	1 combos with Area under both=0.6, Prop. predictions in finite interval=0.125 for size 0.001
19	#000000	#FFF1EC	5 combos with Area under both=0.6, Prop. predictions in finite interval=0.25 for size 0.001
20	#000000	#FFE0D4	11 combos with Area under both=0.6, Prop. predictions in finite interval=0.375 for size 0.001
21	#000000	#FFDACD	13 combos with Area under both=0.6, Prop. predictions in finite interval=0.5 for size 0.001
