group	colour	fill	tooltip
1	#000000	#FFFFFF	1 combos with Area Under Min=0, Prop. predictions in finite interval=0 for size 0.1
2	#000000	#FFE0D4	2 combos with Area Under Min=0, Prop. predictions in finite interval=0.125 for size 0.1
3	#FFFFFF	#7F7F7F	0 combos with Area Under Min=0, Prop. predictions in finite interval=0.25 for size 0.1
4	#FFFFFF	#7F7F7F	0 combos with Area Under Min=0, Prop. predictions in finite interval=0.375 for size 0.1
5	#FFFFFF	#7F7F7F	0 combos with Area Under Min=0, Prop. predictions in finite interval=0.5 for size 0.1
6	#FFFFFF	#7F7F7F	0 combos with Area Under Min=0, Prop. predictions in finite interval=0.625 for size 0.1
7	#FFFFFF	#7F7F7F	0 combos with Area Under Min=0, Prop. predictions in finite interval=0.75 for size 0.1
8	#000000	#FFC0AB	4 combos with Area Under Min=0.2, Prop. predictions in finite interval=0.125 for size 0.1
9	#000000	#FFAD93	6 combos with Area Under Min=0.2, Prop. predictions in finite interval=0.25 for size 0.1
10	#000000	#FFE0D4	2 combos with Area Under Min=0.2, Prop. predictions in finite interval=0.375 for size 0.1
11	#FFFFFF	#7F7F7F	0 combos with Area Under Min=0.2, Prop. predictions in finite interval=0.5 for size 0.1
12	#FFFFFF	#7F7F7F	0 combos with Area Under Min=0.4, Prop. predictions in finite interval=0.125 for size 0.1
13	#000000	#FF9F83	8 combos with Area Under Min=0.4, Prop. predictions in finite interval=0.25 for size 0.1
14	#000000	#FF8B6C	12 combos with Area Under Min=0.4, Prop. predictions in finite interval=0.375 for size 0.1
15	#000000	#FFAD93	6 combos with Area Under Min=0.4, Prop. predictions in finite interval=0.5 for size 0.1
16	#000000	#FFFFFF	1 combos with Area Under Min=0.4, Prop. predictions in finite interval=0.625 for size 0.1
17	#FFFFFF	#7F7F7F	0 combos with Area Under Min=0.4, Prop. predictions in finite interval=0.75 for size 0.1
18	#000000	#FFFFFF	1 combos with Area Under Min=0.6, Prop. predictions in finite interval=0.125 for size 0.1
19	#000000	#FFB59E	5 combos with Area Under Min=0.6, Prop. predictions in finite interval=0.25 for size 0.1
20	#000000	#FF997C	9 combos with Area Under Min=0.6, Prop. predictions in finite interval=0.375 for size 0.1
21	#000000	#FF9476	10 combos with Area Under Min=0.6, Prop. predictions in finite interval=0.5 for size 0.1
22	#000000	#FFB59E	5 combos with Area Under Min=0.6, Prop. predictions in finite interval=0.625 for size 0.1
23	#000000	#FFFFFF	1 combos with Area Under Min=0.6, Prop. predictions in finite interval=0.75 for size 0.1
24	#000000	#FFE0D4	2 combos with Area Under Min=0.8, Prop. predictions in finite interval=0.25 for size 0.1
25	#000000	#FF997C	9 combos with Area Under Min=0.8, Prop. predictions in finite interval=0.375 for size 0.1
26	#000000	#FF997C	9 combos with Area Under Min=0.8, Prop. predictions in finite interval=0.5 for size 0.1
27	#000000	#FFCDBC	3 combos with Area Under Min=0.8, Prop. predictions in finite interval=0.625 for size 0.1
28	#FFFFFF	#7F7F7F	0 combos with Area Under Min=0.8, Prop. predictions in finite interval=0.75 for size 0.1
29	#000000	#FFCDBC	3 combos with Area Under Min=1, Prop. predictions in finite interval=0.375 for size 0.1
30	#000000	#FF9476	10 combos with Area Under Min=1, Prop. predictions in finite interval=0.5 for size 0.1
31	#000000	#FF8B6C	12 combos with Area Under Min=1, Prop. predictions in finite interval=0.625 for size 0.1
32	#000000	#FFAD93	6 combos with Area Under Min=1, Prop. predictions in finite interval=0.75 for size 0.1
33	#000000	#FFFFFF	1 combos with Area Under Min=1, Prop. predictions in finite interval=0.875 for size 0.1
34	#000000	#FFFFFF	1 combos with Area Under Min=1.4, Prop. predictions in finite interval=0.125 for size 0.1
35	#FFFFFF	#7F7F7F	0 combos with Area Under Min=1.6, Prop. predictions in finite interval=0.125 for size 0.1
36	#000000	#FFC0AB	4 combos with Area Under Min=1.6, Prop. predictions in finite interval=0.25 for size 0.1
37	#000000	#FFC0AB	4 combos with Area Under Min=1.6, Prop. predictions in finite interval=0.375 for size 0.1
38	#000000	#FFFFFF	1 combos with Area Under Min=1.6, Prop. predictions in finite interval=0.5 for size 0.1
39	#000000	#FFFFFF	1 combos with Area Under Min=1.8, Prop. predictions in finite interval=0.25 for size 0.1
40	#000000	#FFAD93	6 combos with Area Under Min=1.8, Prop. predictions in finite interval=0.375 for size 0.1
41	#000000	#FF997C	9 combos with Area Under Min=1.8, Prop. predictions in finite interval=0.5 for size 0.1
42	#000000	#FFB59E	5 combos with Area Under Min=1.8, Prop. predictions in finite interval=0.625 for size 0.1
43	#000000	#FFFFFF	1 combos with Area Under Min=1.8, Prop. predictions in finite interval=0.75 for size 0.1
44	#FFFFFF	#7F7F7F	0 combos with Area Under Min=1.8, Prop. predictions in finite interval=0.875 for size 0.1
45	#000000	#FFFFFF	1 combos with Area Under Min=2, Prop. predictions in finite interval=0.25 for size 0.1
46	#000000	#FFC0AB	4 combos with Area Under Min=2, Prop. predictions in finite interval=0.375 for size 0.1
47	#000000	#FFAD93	6 combos with Area Under Min=2, Prop. predictions in finite interval=0.5 for size 0.1
48	#000000	#FFC0AB	4 combos with Area Under Min=2, Prop. predictions in finite interval=0.625 for size 0.1
49	#000000	#FFFFFF	1 combos with Area Under Min=2, Prop. predictions in finite interval=0.75 for size 0.1
50	#000000	#FFFFFF	1 combos with Area Under Min=2.2, Prop. predictions in finite interval=0.25 for size 0.1
51	#000000	#FFCDBC	3 combos with Area Under Min=2.2, Prop. predictions in finite interval=0.375 for size 0.1
52	#000000	#FFB59E	5 combos with Area Under Min=2.2, Prop. predictions in finite interval=0.5 for size 0.1
53	#000000	#FFAD93	6 combos with Area Under Min=2.2, Prop. predictions in finite interval=0.625 for size 0.1
54	#000000	#FFC0AB	4 combos with Area Under Min=2.2, Prop. predictions in finite interval=0.75 for size 0.1
55	#000000	#FFFFFF	1 combos with Area Under Min=2.2, Prop. predictions in finite interval=0.875 for size 0.1
56	#000000	#FFC0AB	4 combos with Area Under Min=2.4, Prop. predictions in finite interval=0.375 for size 0.1
57	#000000	#FF8B6C	12 combos with Area Under Min=2.4, Prop. predictions in finite interval=0.5 for size 0.1
58	#000000	#FF8767	13 combos with Area Under Min=2.4, Prop. predictions in finite interval=0.625 for size 0.1
59	#000000	#FFAD93	6 combos with Area Under Min=2.4, Prop. predictions in finite interval=0.75 for size 0.1
60	#000000	#FFFFFF	1 combos with Area Under Min=2.4, Prop. predictions in finite interval=0.875 for size 0.1
61	#000000	#FFE0D4	2 combos with Area Under Min=2.6, Prop. predictions in finite interval=0.5 for size 0.1
62	#000000	#FFA58A	7 combos with Area Under Min=2.6, Prop. predictions in finite interval=0.625 for size 0.1
63	#000000	#FF997C	9 combos with Area Under Min=2.6, Prop. predictions in finite interval=0.75 for size 0.1
64	#000000	#FFB59E	5 combos with Area Under Min=2.6, Prop. predictions in finite interval=0.875 for size 0.1
65	#000000	#FFFFFF	1 combos with Area Under Min=2.6, Prop. predictions in finite interval=1 for size 0.1
66	#000000	#FFFFFF	1 combos with Prop. predictions in finite interval=0, Area under ROC curve=1 for size 0.1
67	#FFFFFF	#7F7F7F	0 combos with Prop. predictions in finite interval=0.125, Area under ROC curve=0.75 for size 0.1
68	#000000	#FFC0AB	4 combos with Prop. predictions in finite interval=0.125, Area under ROC curve=0.8333 for size 0.1
69	#000000	#FFE0D4	2 combos with Prop. predictions in finite interval=0.125, Area under ROC curve=0.9167 for size 0.1
70	#000000	#FFE0D4	2 combos with Prop. predictions in finite interval=0.125, Area under ROC curve=1 for size 0.1
71	#FFFFFF	#7F7F7F	0 combos with Prop. predictions in finite interval=0.125, Area under ROC curve=1.0833 for size 0.1
72	#FFFFFF	#7F7F7F	0 combos with Prop. predictions in finite interval=0.25, Area under ROC curve=0.5833 for size 0.1
73	#000000	#FFA58A	7 combos with Prop. predictions in finite interval=0.25, Area under ROC curve=0.6667 for size 0.1
