group	colour	fill	tooltip
1	#000000	#FFFFFF	1 combos with Area Under Min=0, Prop. predictions in finite interval=0 for size 1e-04
2	#000000	#FFE0D4	2 combos with Area Under Min=0, Prop. predictions in finite interval=0.125 for size 1e-04
3	#FFFFFF	#7F7F7F	0 combos with Area Under Min=0, Prop. predictions in finite interval=0.25 for size 1e-04
4	#FFFFFF	#7F7F7F	0 combos with Area Under Min=0, Prop. predictions in finite interval=0.375 for size 1e-04
5	#FFFFFF	#7F7F7F	0 combos with Area Under Min=0, Prop. predictions in finite interval=0.5 for size 1e-04
6	#FFFFFF	#7F7F7F	0 combos with Area Under Min=0, Prop. predictions in finite interval=0.625 for size 1e-04
7	#FFFFFF	#7F7F7F	0 combos with Area Under Min=0, Prop. predictions in finite interval=0.75 for size 1e-04
8	#000000	#FFCDBC	3 combos with Area Under Min=0.2, Prop. predictions in finite interval=0.125 for size 1e-04
9	#000000	#FFB59E	5 combos with Area Under Min=0.2, Prop. predictions in finite interval=0.25 for size 1e-04
10	#000000	#FFFFFF	1 combos with Area Under Min=0.2, Prop. predictions in finite interval=0.375 for size 1e-04
11	#FFFFFF	#7F7F7F	0 combos with Area Under Min=0.2, Prop. predictions in finite interval=0.5 for size 1e-04
12	#000000	#FFFFFF	1 combos with Area Under Min=0.4, Prop. predictions in finite interval=0.125 for size 1e-04
13	#000000	#FF997C	9 combos with Area Under Min=0.4, Prop. predictions in finite interval=0.25 for size 1e-04
14	#000000	#FF9476	10 combos with Area Under Min=0.4, Prop. predictions in finite interval=0.375 for size 1e-04
15	#000000	#FFE0D4	2 combos with Area Under Min=0.4, Prop. predictions in finite interval=0.5 for size 1e-04
16	#FFFFFF	#7F7F7F	0 combos with Area Under Min=0.4, Prop. predictions in finite interval=0.625 for size 1e-04
17	#FFFFFF	#7F7F7F	0 combos with Area Under Min=0.4, Prop. predictions in finite interval=0.75 for size 1e-04
18	#000000	#FFFFFF	1 combos with Area Under Min=0.6, Prop. predictions in finite interval=0.125 for size 1e-04
19	#000000	#FFB59E	5 combos with Area Under Min=0.6, Prop. predictions in finite interval=0.25 for size 1e-04
20	#000000	#FF8F70	11 combos with Area Under Min=0.6, Prop. predictions in finite interval=0.375 for size 1e-04
21	#000000	#FF8767	13 combos with Area Under Min=0.6, Prop. predictions in finite interval=0.5 for size 1e-04
22	#000000	#FFAD93	6 combos with Area Under Min=0.6, Prop. predictions in finite interval=0.625 for size 1e-04
23	#000000	#FFFFFF	1 combos with Area Under Min=0.6, Prop. predictions in finite interval=0.75 for size 1e-04
24	#000000	#FFE0D4	2 combos with Area Under Min=0.8, Prop. predictions in finite interval=0.25 for size 1e-04
25	#000000	#FF997C	9 combos with Area Under Min=0.8, Prop. predictions in finite interval=0.375 for size 1e-04
26	#000000	#FF9F83	8 combos with Area Under Min=0.8, Prop. predictions in finite interval=0.5 for size 1e-04
27	#000000	#FFE0D4	2 combos with Area Under Min=0.8, Prop. predictions in finite interval=0.625 for size 1e-04
28	#FFFFFF	#7F7F7F	0 combos with Area Under Min=0.8, Prop. predictions in finite interval=0.75 for size 1e-04
29	#000000	#FFC0AB	4 combos with Area Under Min=1, Prop. predictions in finite interval=0.375 for size 1e-04
30	#000000	#FF8B6C	12 combos with Area Under Min=1, Prop. predictions in finite interval=0.5 for size 1e-04
31	#000000	#FF8767	13 combos with Area Under Min=1, Prop. predictions in finite interval=0.625 for size 1e-04
32	#000000	#FFAD93	6 combos with Area Under Min=1, Prop. predictions in finite interval=0.75 for size 1e-04
33	#000000	#FFFFFF	1 combos with Area Under Min=1, Prop. predictions in finite interval=0.875 for size 1e-04
34	#FFFFFF	#7F7F7F	0 combos with Area Under Min=1.4, Prop. predictions in finite interval=0.125 for size 1e-04
35	#000000	#FFFFFF	1 combos with Area Under Min=1.6, Prop. predictions in finite interval=0.125 for size 1e-04
36	#000000	#FFC0AB	4 combos with Area Under Min=1.6, Prop. predictions in finite interval=0.25 for size 1e-04
37	#000000	#FFB59E	5 combos with Area Under Min=1.6, Prop. predictions in finite interval=0.375 for size 1e-04
38	#000000	#FFFFFF	1 combos with Area Under Min=1.6, Prop. predictions in finite interval=0.5 for size 1e-04
39	#000000	#FFFFFF	1 combos with Area Under Min=1.8, Prop. predictions in finite interval=0.25 for size 1e-04
40	#000000	#FFB59E	5 combos with Area Under Min=1.8, Prop. predictions in finite interval=0.375 for size 1e-04
41	#000000	#FF997C	9 combos with Area Under Min=1.8, Prop. predictions in finite interval=0.5 for size 1e-04
42	#000000	#FFB59E	5 combos with Area Under Min=1.8, Prop. predictions in finite interval=0.625 for size 1e-04
43	#000000	#FFFFFF	1 combos with Area Under Min=1.8, Prop. predictions in finite interval=0.75 for size 1e-04
44	#FFFFFF	#7F7F7F	0 combos with Area Under Min=1.8, Prop. predictions in finite interval=0.875 for size 1e-04
45	#000000	#FFFFFF	1 combos with Area Under Min=2, Prop. predictions in finite interval=0.25 for size 1e-04
46	#000000	#FFC0AB	4 combos with Area Under Min=2, Prop. predictions in finite interval=0.375 for size 1e-04
47	#000000	#FFB59E	5 combos with Area Under Min=2, Prop. predictions in finite interval=0.5 for size 1e-04
48	#000000	#FFE0D4	2 combos with Area Under Min=2, Prop. predictions in finite interval=0.625 for size 1e-04
49	#FFFFFF	#7F7F7F	0 combos with Area Under Min=2, Prop. predictions in finite interval=0.75 for size 1e-04
50	#000000	#FFFFFF	1 combos with Area Under Min=2.2, Prop. predictions in finite interval=0.25 for size 1e-04
51	#000000	#FFFFFF	1 combos with Area Under Min=2.2, Prop. predictions in finite interval=0.375 for size 1e-04
52	#000000	#FFB59E	5 combos with Area Under Min=2.2, Prop. predictions in finite interval=0.5 for size 1e-04
53	#000000	#FF9F83	8 combos with Area Under Min=2.2, Prop. predictions in finite interval=0.625 for size 1e-04
54	#000000	#FFB59E	5 combos with Area Under Min=2.2, Prop. predictions in finite interval=0.75 for size 1e-04
55	#000000	#FFFFFF	1 combos with Area Under Min=2.2, Prop. predictions in finite interval=0.875 for size 1e-04
56	#000000	#FFAD93	6 combos with Area Under Min=2.4, Prop. predictions in finite interval=0.375 for size 1e-04
57	#000000	#FF8767	13 combos with Area Under Min=2.4, Prop. predictions in finite interval=0.5 for size 1e-04
58	#000000	#FF8767	13 combos with Area Under Min=2.4, Prop. predictions in finite interval=0.625 for size 1e-04
59	#000000	#FFAD93	6 combos with Area Under Min=2.4, Prop. predictions in finite interval=0.75 for size 1e-04
60	#000000	#FFFFFF	1 combos with Area Under Min=2.4, Prop. predictions in finite interval=0.875 for size 1e-04
61	#000000	#FFE0D4	2 combos with Area Under Min=2.6, Prop. predictions in finite interval=0.5 for size 1e-04
62	#000000	#FFA58A	7 combos with Area Under Min=2.6, Prop. predictions in finite interval=0.625 for size 1e-04
63	#000000	#FF997C	9 combos with Area Under Min=2.6, Prop. predictions in finite interval=0.75 for size 1e-04
64	#000000	#FFB59E	5 combos with Area Under Min=2.6, Prop. predictions in finite interval=0.875 for size 1e-04
65	#000000	#FFFFFF	1 combos with Area Under Min=2.6, Prop. predictions in finite interval=1 for size 1e-04
66	#000000	#FFFFFF	1 combos with Prop. predictions in finite interval=0, Area under ROC curve=1 for size 1e-04
67	#FFFFFF	#7F7F7F	0 combos with Prop. predictions in finite interval=0.125, Area under ROC curve=0.75 for size 1e-04
68	#000000	#FFE0D4	2 combos with Prop. predictions in finite interval=0.125, Area under ROC curve=0.8333 for size 1e-04
69	#FFFFFF	#7F7F7F	0 combos with Prop. predictions in finite interval=0.125, Area under ROC curve=0.9167 for size 1e-04
70	#000000	#FFC0AB	4 combos with Prop. predictions in finite interval=0.125, Area under ROC curve=1 for size 1e-04
71	#000000	#FFE0D4	2 combos with Prop. predictions in finite interval=0.125, Area under ROC curve=1.0833 for size 1e-04
72	#FFFFFF	#7F7F7F	0 combos with Prop. predictions in finite interval=0.25, Area under ROC curve=0.5833 for size 1e-04
73	#000000	#FFFFFF	1 combos with Prop. predictions in finite interval=0.25, Area under ROC curve=0.6667 for size 1e-04
74	#000000	#FFC0AB	4 combos with Prop. predictions in finite interval=0.25, Area under ROC curve=0.75 for size 1e-04
75	#000000	#FFAD93	6 combos with Prop. predictions in finite interval=0.25, Area under ROC curve=0.8333 for size 1e-04
76	#000000	#FFE0D4	2 combos with Prop. predictions in finite interval=0.25, Area under ROC curve=0.9167 for size 1e-04
77	#000000	#FFAD93	6 combos with Prop. predictions in finite interval=0.25, Area under ROC curve=1 for size 1e-04
78	#000000	#FF9F83	8 combos with Prop. predictions in finite interval=0.25, Area under ROC curve=1.0833 for size 1e-04
79	#000000	#FFFFFF	1 combos with Prop. predictions in finite interval=0.25, Area under ROC curve=1.1667 for size 1e-04
80	#FFFFFF	#7F7F7F	0 combos with Prop. predictions in finite interval=0.375, Area under ROC curve=0.4167 for size 1e-04
81	#000000	#FFE0D4	2 combos with Prop. predictions in finite interval=0.375, Area under ROC curve=0.5 for size 1e-04
82	#000000	#FFFFFF	1 combos with Prop. predictions in finite interval=0.375, Area under ROC curve=0.5833 for size 1e-04
83	#000000	#FFC0AB	4 combos with Prop. predictions in finite interval=0.375, Area under ROC curve=0.6667 for size 1e-04
84	#000000	#FF8767	13 combos with Prop. predictions in finite interval=0.375, Area under ROC curve=0.75 for size 1e-04
85	#000000	#FF9476	10 combos with Prop. predictions in finite interval=0.375, Area under ROC curve=0.8333 for size 1e-04
86	#000000	#FFAD93	6 combos with Prop. predictions in finite interval=0.375, Area under ROC curve=0.9167 for size 1e-04
87	#000000	#FFC0AB	4 combos with Prop. predictions in finite interval=0.375, Area under ROC curve=1 for size 1e-04
88	#000000	#FF8B6C	12 combos with Prop. predictions in finite interval=0.375, Area under ROC curve=1.0833 for size 1e-04
89	#000000	#FFC0AB	4 combos with Prop. predictions in finite interval=0.375, Area under ROC curve=1.1667 for size 1e-04
90	#FFFFFF	#7F7F7F	0 combos with Prop. predictions in finite interval=0.5, Area under ROC curve=0.25 for size 1e-04
91	#000000	#FFFFFF	1 combos with Prop. predictions in finite interval=0.5, Area under ROC curve=0.3333 for size 1e-04
92	#000000	#FFE0D4	2 combos with Prop. predictions in finite interval=0.5, Area under ROC curve=0.4167 for size 1e-04
