group	colour	fill	tooltip
1	#000000	#FFFFFF	1 combos with Area Under Min=0, Prop. predictions in finite interval=0 for size 0.01
2	#000000	#FFE0D4	2 combos with Area Under Min=0, Prop. predictions in finite interval=0.125 for size 0.01
3	#FFFFFF	#7F7F7F	0 combos with Area Under Min=0, Prop. predictions in finite interval=0.25 for size 0.01
4	#FFFFFF	#7F7F7F	0 combos with Area Under Min=0, Prop. predictions in finite interval=0.375 for size 0.01
5	#FFFFFF	#7F7F7F	0 combos with Area Under Min=0, Prop. predictions in finite interval=0.5 for size 0.01
6	#FFFFFF	#7F7F7F	0 combos with Area Under Min=0, Prop. predictions in finite interval=0.625 for size 0.01
7	#FFFFFF	#7F7F7F	0 combos with Area Under Min=0, Prop. predictions in finite interval=0.75 for size 0.01
8	#000000	#FFCDBC	3 combos with Area Under Min=0.2, Prop. predictions in finite interval=0.125 for size 0.01
9	#000000	#FFB59E	5 combos with Area Under Min=0.2, Prop. predictions in finite interval=0.25 for size 0.01
10	#000000	#FFFFFF	1 combos with Area Under Min=0.2, Prop. predictions in finite interval=0.375 for size 0.01
11	#FFFFFF	#7F7F7F	0 combos with Area Under Min=0.2, Prop. predictions in finite interval=0.5 for size 0.01
12	#000000	#FFFFFF	1 combos with Area Under Min=0.4, Prop. predictions in finite interval=0.125 for size 0.01
13	#000000	#FF997C	9 combos with Area Under Min=0.4, Prop. predictions in finite interval=0.25 for size 0.01
14	#000000	#FF997C	9 combos with Area Under Min=0.4, Prop. predictions in finite interval=0.375 for size 0.01
15	#000000	#FFE0D4	2 combos with Area Under Min=0.4, Prop. predictions in finite interval=0.5 for size 0.01
16	#FFFFFF	#7F7F7F	0 combos with Area Under Min=0.4, Prop. predictions in finite interval=0.625 for size 0.01
17	#FFFFFF	#7F7F7F	0 combos with Area Under Min=0.4, Prop. predictions in finite interval=0.75 for size 0.01
18	#000000	#FFFFFF	1 combos with Area Under Min=0.6, Prop. predictions in finite interval=0.125 for size 0.01
19	#000000	#FFB59E	5 combos with Area Under Min=0.6, Prop. predictions in finite interval=0.25 for size 0.01
20	#000000	#FF8B6C	12 combos with Area Under Min=0.6, Prop. predictions in finite interval=0.375 for size 0.01
21	#000000	#FF8767	13 combos with Area Under Min=0.6, Prop. predictions in finite interval=0.5 for size 0.01
22	#000000	#FFAD93	6 combos with Area Under Min=0.6, Prop. predictions in finite interval=0.625 for size 0.01
23	#000000	#FFFFFF	1 combos with Area Under Min=0.6, Prop. predictions in finite interval=0.75 for size 0.01
24	#000000	#FFE0D4	2 combos with Area Under Min=0.8, Prop. predictions in finite interval=0.25 for size 0.01
25	#000000	#FF997C	9 combos with Area Under Min=0.8, Prop. predictions in finite interval=0.375 for size 0.01
26	#000000	#FF9F83	8 combos with Area Under Min=0.8, Prop. predictions in finite interval=0.5 for size 0.01
27	#000000	#FFE0D4	2 combos with Area Under Min=0.8, Prop. predictions in finite interval=0.625 for size 0.01
28	#FFFFFF	#7F7F7F	0 combos with Area Under Min=0.8, Prop. predictions in finite interval=0.75 for size 0.01
29	#000000	#FFC0AB	4 combos with Area Under Min=1, Prop. predictions in finite interval=0.375 for size 0.01
30	#000000	#FF8B6C	12 combos with Area Under Min=1, Prop. predictions in finite interval=0.5 for size 0.01
31	#000000	#FF8767	13 combos with Area Under Min=1, Prop. predictions in finite interval=0.625 for size 0.01
32	#000000	#FFAD93	6 combos with Area Under Min=1, Prop. predictions in finite interval=0.75 for size 0.01
33	#000000	#FFFFFF	1 combos with Area Under Min=1, Prop. predictions in finite interval=0.875 for size 0.01
34	#FFFFFF	#7F7F7F	0 combos with Area Under Min=1.4, Prop. predictions in finite interval=0.125 for size 0.01
35	#000000	#FFFFFF	1 combos with Area Under Min=1.6, Prop. predictions in finite interval=0.125 for size 0.01
36	#000000	#FFC0AB	4 combos with Area Under Min=1.6, Prop. predictions in finite interval=0.25 for size 0.01
37	#000000	#FFCDBC	3 combos with Area Under Min=1.6, Prop. predictions in finite interval=0.375 for size 0.01
38	#FFFFFF	#7F7F7F	0 combos with Area Under Min=1.6, Prop. predictions in finite interval=0.5 for size 0.01
39	#000000	#FFFFFF	1 combos with Area Under Min=1.8, Prop. predictions in finite interval=0.25 for size 0.01
40	#000000	#FFA58A	7 combos with Area Under Min=1.8, Prop. predictions in finite interval=0.375 for size 0.01
41	#000000	#FF9476	10 combos with Area Under Min=1.8, Prop. predictions in finite interval=0.5 for size 0.01
42	#000000	#FFB59E	5 combos with Area Under Min=1.8, Prop. predictions in finite interval=0.625 for size 0.01
43	#000000	#FFFFFF	1 combos with Area Under Min=1.8, Prop. predictions in finite interval=0.75 for size 0.01
44	#FFFFFF	#7F7F7F	0 combos with Area Under Min=1.8, Prop. predictions in finite interval=0.875 for size 0.01
45	#000000	#FFFFFF	1 combos with Area Under Min=2, Prop. predictions in finite interval=0.25 for size 0.01
46	#000000	#FFC0AB	4 combos with Area Under Min=2, Prop. predictions in finite interval=0.375 for size 0.01
47	#000000	#FFB59E	5 combos with Area Under Min=2, Prop. predictions in finite interval=0.5 for size 0.01
48	#000000	#FFE0D4	2 combos with Area Under Min=2, Prop. predictions in finite interval=0.625 for size 0.01
49	#FFFFFF	#7F7F7F	0 combos with Area Under Min=2, Prop. predictions in finite interval=0.75 for size 0.01
50	#000000	#FFFFFF	1 combos with Area Under Min=2.2, Prop. predictions in finite interval=0.25 for size 0.01
51	#000000	#FFFFFF	1 combos with Area Under Min=2.2, Prop. predictions in finite interval=0.375 for size 0.01
52	#000000	#FFB59E	5 combos with Area Under Min=2.2, Prop. predictions in finite interval=0.5 for size 0.01
53	#000000	#FF9F83	8 combos with Area Under Min=2.2, Prop. predictions in finite interval=0.625 for size 0.01
54	#000000	#FFB59E	5 combos with Area Under Min=2.2, Prop. predictions in finite interval=0.75 for size 0.01
55	#000000	#FFFFFF	1 combos with Area Under Min=2.2, Prop. predictions in finite interval=0.875 for size 0.01
56	#000000	#FFAD93	6 combos with Area Under Min=2.4, Prop. predictions in finite interval=0.375 for size 0.01
57	#000000	#FF8767	13 combos with Area Under Min=2.4, Prop. predictions in finite interval=0.5 for size 0.01
58	#000000	#FF8767	13 combos with Area Under Min=2.4, Prop. predictions in finite interval=0.625 for size 0.01
59	#000000	#FFAD93	6 combos with Area Under Min=2.4, Prop. predictions in finite interval=0.75 for size 0.01
60	#000000	#FFFFFF	1 combos with Area Under Min=2.4, Prop. predictions in finite interval=0.875 for size 0.01
61	#000000	#FFE0D4	2 combos with Area Under Min=2.6, Prop. predictions in finite interval=0.5 for size 0.01
62	#000000	#FFA58A	7 combos with Area Under Min=2.6, Prop. predictions in finite interval=0.625 for size 0.01
63	#000000	#FF997C	9 combos with Area Under Min=2.6, Prop. predictions in finite interval=0.75 for size 0.01
64	#000000	#FFB59E	5 combos with Area Under Min=2.6, Prop. predictions in finite interval=0.875 for size 0.01
65	#000000	#FFFFFF	1 combos with Area Under Min=2.6, Prop. predictions in finite interval=1 for size 0.01
66	#000000	#FFFFFF	1 combos with Prop. predictions in finite interval=0, Area under ROC curve=1 for size 0.01
67	#000000	#FFFFFF	1 combos with Prop. predictions in finite interval=0.125, Area under ROC curve=0.75 for size 0.01
68	#000000	#FFFFFF	1 combos with Prop. predictions in finite interval=0.125, Area under ROC curve=0.8333 for size 0.01
69	#FFFFFF	#7F7F7F	0 combos with Prop. predictions in finite interval=0.125, Area under ROC curve=0.9167 for size 0.01
70	#000000	#FFC0AB	4 combos with Prop. predictions in finite interval=0.125, Area under ROC curve=1 for size 0.01
71	#000000	#FFE0D4	2 combos with Prop. predictions in finite interval=0.125, Area under ROC curve=1.0833 for size 0.01
72	#000000	#FFFFFF	1 combos with Prop. predictions in finite interval=0.25, Area under ROC curve=0.5833 for size 0.01
73	#000000	#FFE0D4	2 combos with Prop. predictions in finite interval=0.25, Area under ROC curve=0.6667 for size 0.01
74	#000000	#FFC0AB	4 combos with Prop. predictions in finite interval=0.25, Area under ROC curve=0.75 for size 0.01
75	#000000	#FFB59E	5 combos with Prop. predictions in finite interval=0.25, Area under ROC curve=0.8333 for size 0.01
76	#000000	#FFFFFF	1 combos with Prop. predictions in finite interval=0.25, Area under ROC curve=0.9167 for size 0.01
77	#000000	#FFAD93	6 combos with Prop. predictions in finite interval=0.25, Area under ROC curve=1 for size 0.01
78	#000000	#FF9F83	8 combos with Prop. predictions in finite interval=0.25, Area under ROC curve=1.0833 for size 0.01
79	#000000	#FFFFFF	1 combos with Prop. predictions in finite interval=0.25, Area under ROC curve=1.1667 for size 0.01
