xmin	xmax	ymin	ymax	key	showSelected2	PANEL
0.666666666666667	0.833333333333333	0	0.5	7	1	1
0.666666666666667	0.833333333333333	0	1	10	1	1
0.5	0.666666666666667	0	1	11	1	1
0.333333333333333	0.5	0	1	12	1	1
0.166666666666667	0.333333333333333	0	1	13	1	1
0	0.166666666666667	0	1	14	1	1
0.666666666666667	0.833333333333333	0	0.5	9	2	1
0.666666666666667	0.833333333333333	0	1	12	2	1
0.5	0.666666666666667	0	1	13	2	1
0.333333333333333	0.5	0	1	14	2	1
0.166666666666667	0.333333333333333	0	1	15	2	1
0	0.166666666666667	0	1	16	2	1
0.666666666666667	0.833333333333333	0	1	12	3	1
0.5	0.666666666666667	0	1	13	3	1
0.333333333333333	0.5	0	1	14	3	1
0.166666666666667	0.333333333333333	0	1	15	3	1
0	0.166666666666667	0	1	16	3	1
0.666666666666667	0.833333333333333	0	1	13	4	1
0.5	0.666666666666667	0	1	14	4	1
0.333333333333333	0.5	0	1	15	4	1
0.166666666666667	0.333333333333333	0	1	16	4	1
0	0.166666666666667	0	1	17	4	1
0.666666666666667	0.833333333333333	0	1	8	5	1
0.5	0.666666666666667	0	1	9	5	1
0.333333333333333	0.5	0	1	10	5	1
0.166666666666667	0.333333333333333	0	1	11	5	1
0	0.166666666666667	0	1	12	5	1
0.666666666666667	0.833333333333333	0	1	10	6	1
0.5	0.666666666666667	0	1	11	6	1
0.333333333333333	0.5	0	1	12	6	1
0.166666666666667	0.333333333333333	0	1	13	6	1
0	0.166666666666667	0	1	14	6	1
0.833333333333333	1	0	0.5	22	6	1
0.666666666666667	0.833333333333333	0	1	10	7	1
0.5	0.666666666666667	0	1	11	7	1
0.333333333333333	0.5	0	1	12	7	1
0.166666666666667	0.333333333333333	0	1	13	7	1
0	0.166666666666667	0	1	14	7	1
0.833333333333333	1	0	0.5	22	7	1
0.666666666666667	0.833333333333333	0	1	11	8	1
0.5	0.666666666666667	0	1	12	8	1
0.333333333333333	0.5	0	1	13	8	1
0.166666666666667	0.333333333333333	0	1	14	8	1
0	0.166666666666667	0	1	15	8	1
0.833333333333333	1	0	1	22	8	1
0.5	0.666666666666667	0	0.5	6	9	1
0.5	0.666666666666667	0	1	9	9	1
