colour	size	x	xend	y	yend	key	showSelected2	showSelected3
#FF0000	5	0	0.1	0	0	fp 1	1	fp
#FF0000	5	0.1	1.56330432084473	1	1	fp 2	1	fp
#FF0000	5	1.56330432084473	1.60634112630132	2	2	fp 3	1	fp
#FF0000	5	1.60634112630132	1.6720342777882	3	3	fp 4	1	fp
#FF0000	5	1.6720342777882	1.71217817532878	3	3	fp 5	1	fp
#FF0000	5	1.71217817532878	1.77036556648037	4	4	fp 6	1	fp
#FF0000	5	1.77036556648037	1.77920107129501	5	5	fp 7	1	fp
#FF0000	5	1.77920107129501	1.81015768215035	4	4	fp 8	1	fp
#FF0000	5	1.81015768215035	1.91015768215035	4	4	fp 9	1	fp
#FF0000	5	1.91015768215035	2.01015768215035	5	5	fp 10	1	fp
#FF0000	5	2.01015768215035	2.11015768215035	4	4	fp 11	1	fp
#FF0000	5	2.11015768215035	2.21015768215035	3	3	fp 12	1	fp
#FF0000	5	2.21015768215035	2.31015768215035	2	2	fp 13	1	fp
#FF0000	5	2.31015768215035	2.41015768215035	1	1	fp 14	1	fp
#FF0000	5	2.41015768215035	2.51015768215035	0	0	fp 15	1	fp
#FF0000	5	2.51015768215035	2.61015768215035	1	1	fp 16	1	fp
#FF0000	5	2.61015768215035	2.71015768215035	2	2	fp 17	1	fp
#FF0000	5	2.71015768215035	2.81015768215035	3	3	fp 18	1	fp
#FF0000	5	2.81015768215035	2.91015768215035	4	4	fp 19	1	fp
#FF0000	5	2.91015768215035	3.01015768215035	5	5	fp 20	1	fp
#FF0000	5	3.01015768215035	3.04111429300568	5	5	fp 21	1	fp
#FF0000	5	3.04111429300568	3.1482810865125	6	6	fp 22	1	fp
#FF0000	5	3.1482810865125	3.39992113817834	6	6	fp 23	1	fp
#FF0000	5	3.39992113817834	3.51878424216178	6	6	fp 24	1	fp
#FF0000	5	3.51878424216178	3.61878424216178	6	6	fp 25	1	fp
#FF0000	5	0	0.1	0	0	fp 1	2	fp
#FF0000	5	0.1	1.16804067618721	1	1	fp 2	2	fp
#FF0000	5	1.16804067618721	1.43302156809062	1	1	fp 3	2	fp
#FF0000	5	1.43302156809062	1.56330432084473	1	1	fp 4	2	fp
#FF0000	5	1.56330432084473	1.60634112630132	2	2	fp 5	2	fp
#FF0000	5	1.60634112630132	1.6720342777882	3	3	fp 6	2	fp
#FF0000	5	1.6720342777882	1.71217817532878	3	3	fp 7	2	fp
#FF0000	5	1.71217817532878	1.77036556648037	4	4	fp 8	2	fp
#FF0000	5	1.77036556648037	1.77920107129501	5	5	fp 9	2	fp
#FF0000	5	1.77920107129501	1.81021989030229	4	4	fp 10	2	fp
#FF0000	5	1.81021989030229	1.84997530781965	5	5	fp 11	2	fp
#FF0000	5	1.84997530781965	1.87325496159552	4	4	fp 12	2	fp
#FF0000	5	1.87325496159552	1.88060064554228	3	3	fp 13	2	fp
#FF0000	5	1.88060064554228	1.89783494292779	2	2	fp 14	2	fp
#FF0000	5	1.89783494292779	1.89854226289069	1	1	fp 15	2	fp
#FF0000	5	1.89854226289069	1.99854226289069	0	0	fp 16	2	fp
#FF0000	5	1.99854226289069	2.09854226289069	0	0	fp 17	2	fp
#FF0000	5	2.09854226289069	2.19854226289069	1	1	fp 18	2	fp
#FF0000	5	2.19854226289069	2.29854226289069	2	2	fp 19	2	fp
#FF0000	5	2.29854226289069	2.39854226289069	3	3	fp 20	2	fp
#FF0000	5	2.39854226289069	2.49854226289069	4	4	fp 21	2	fp
#FF0000	5	2.49854226289069	2.59854226289069	5	5	fp 22	2	fp
#FF0000	5	2.59854226289069	2.69854226289069	6	6	fp 23	2	fp
#FF0000	5	2.69854226289069	2.95018231455653	6	6	fp 24	2	fp
#FF0000	5	2.95018231455653	3.05018231455653	6	6	fp 25	2	fp
#FF0000	5	0	0.1	0	0	fp 1	3	fp
#FF0000	5	0.1	1.1487803758085	1	1	fp 2	3	fp
#FF0000	5	1.1487803758085	1.56330432084473	1	1	fp 3	3	fp
#FF0000	5	1.56330432084473	1.60634112630132	2	2	fp 4	3	fp
#FF0000	5	1.60634112630132	1.69000807643621	3	3	fp 5	3	fp
#FF0000	5	1.69000807643621	1.71217817532878	3	3	fp 6	3	fp
#FF0000	5	1.71217817532878	1.77036556648037	4	4	fp 7	3	fp
#FF0000	5	1.77036556648037	1.77920107129501	5	5	fp 8	3	fp
#FF0000	5	1.77920107129501	1.81015768215035	4	4	fp 9	3	fp
#FF0000	5	1.81015768215035	1.81021989030229	4	4	fp 10	3	fp
#FF0000	5	1.81021989030229	1.84997530781965	5	5	fp 11	3	fp
