group	colour	fill	tooltip
1	#000000	#FFFFFF	1 combos with Area Under Min=0, Prop. predictions in finite interval=0 for size 0.001
2	#000000	#FFE0D4	2 combos with Area Under Min=0, Prop. predictions in finite interval=0.125 for size 0.001
3	#FFFFFF	#7F7F7F	0 combos with Area Under Min=0, Prop. predictions in finite interval=0.25 for size 0.001
4	#FFFFFF	#7F7F7F	0 combos with Area Under Min=0, Prop. predictions in finite interval=0.375 for size 0.001
5	#FFFFFF	#7F7F7F	0 combos with Area Under Min=0, Prop. predictions in finite interval=0.5 for size 0.001
6	#FFFFFF	#7F7F7F	0 combos with Area Under Min=0, Prop. predictions in finite interval=0.625 for size 0.001
7	#FFFFFF	#7F7F7F	0 combos with Area Under Min=0, Prop. predictions in finite interval=0.75 for size 0.001
8	#000000	#FFCDBC	3 combos with Area Under Min=0.2, Prop. predictions in finite interval=0.125 for size 0.001
9	#000000	#FFB59E	5 combos with Area Under Min=0.2, Prop. predictions in finite interval=0.25 for size 0.001
10	#000000	#FFFFFF	1 combos with Area Under Min=0.2, Prop. predictions in finite interval=0.375 for size 0.001
11	#FFFFFF	#7F7F7F	0 combos with Area Under Min=0.2, Prop. predictions in finite interval=0.5 for size 0.001
12	#000000	#FFFFFF	1 combos with Area Under Min=0.4, Prop. predictions in finite interval=0.125 for size 0.001
13	#000000	#FF997C	9 combos with Area Under Min=0.4, Prop. predictions in finite interval=0.25 for size 0.001
14	#000000	#FF9476	10 combos with Area Under Min=0.4, Prop. predictions in finite interval=0.375 for size 0.001
15	#000000	#FFE0D4	2 combos with Area Under Min=0.4, Prop. predictions in finite interval=0.5 for size 0.001
16	#FFFFFF	#7F7F7F	0 combos with Area Under Min=0.4, Prop. predictions in finite interval=0.625 for size 0.001
17	#FFFFFF	#7F7F7F	0 combos with Area Under Min=0.4, Prop. predictions in finite interval=0.75 for size 0.001
18	#000000	#FFFFFF	1 combos with Area Under Min=0.6, Prop. predictions in finite interval=0.125 for size 0.001
19	#000000	#FFB59E	5 combos with Area Under Min=0.6, Prop. predictions in finite interval=0.25 for size 0.001
20	#000000	#FF8F70	11 combos with Area Under Min=0.6, Prop. predictions in finite interval=0.375 for size 0.001
21	#000000	#FF8767	13 combos with Area Under Min=0.6, Prop. predictions in finite interval=0.5 for size 0.001
22	#000000	#FFAD93	6 combos with Area Under Min=0.6, Prop. predictions in finite interval=0.625 for size 0.001
23	#000000	#FFFFFF	1 combos with Area Under Min=0.6, Prop. predictions in finite interval=0.75 for size 0.001
24	#000000	#FFE0D4	2 combos with Area Under Min=0.8, Prop. predictions in finite interval=0.25 for size 0.001
25	#000000	#FF997C	9 combos with Area Under Min=0.8, Prop. predictions in finite interval=0.375 for size 0.001
26	#000000	#FF9F83	8 combos with Area Under Min=0.8, Prop. predictions in finite interval=0.5 for size 0.001
27	#000000	#FFE0D4	2 combos with Area Under Min=0.8, Prop. predictions in finite interval=0.625 for size 0.001
28	#FFFFFF	#7F7F7F	0 combos with Area Under Min=0.8, Prop. predictions in finite interval=0.75 for size 0.001
29	#000000	#FFC0AB	4 combos with Area Under Min=1, Prop. predictions in finite interval=0.375 for size 0.001
30	#000000	#FF8B6C	12 combos with Area Under Min=1, Prop. predictions in finite interval=0.5 for size 0.001
31	#000000	#FF8767	13 combos with Area Under Min=1, Prop. predictions in finite interval=0.625 for size 0.001
32	#000000	#FFAD93	6 combos with Area Under Min=1, Prop. predictions in finite interval=0.75 for size 0.001
33	#000000	#FFFFFF	1 combos with Area Under Min=1, Prop. predictions in finite interval=0.875 for size 0.001
34	#FFFFFF	#7F7F7F	0 combos with Area Under Min=1.4, Prop. predictions in finite interval=0.125 for size 0.001
35	#000000	#FFFFFF	1 combos with Area Under Min=1.6, Prop. predictions in finite interval=0.125 for size 0.001
36	#000000	#FFC0AB	4 combos with Area Under Min=1.6, Prop. predictions in finite interval=0.25 for size 0.001
37	#000000	#FFB59E	5 combos with Area Under Min=1.6, Prop. predictions in finite interval=0.375 for size 0.001
38	#000000	#FFFFFF	1 combos with Area Under Min=1.6, Prop. predictions in finite interval=0.5 for size 0.001
39	#000000	#FFFFFF	1 combos with Area Under Min=1.8, Prop. predictions in finite interval=0.25 for size 0.001
40	#000000	#FFB59E	5 combos with Area Under Min=1.8, Prop. predictions in finite interval=0.375 for size 0.001
41	#000000	#FF997C	9 combos with Area Under Min=1.8, Prop. predictions in finite interval=0.5 for size 0.001
42	#000000	#FFB59E	5 combos with Area Under Min=1.8, Prop. predictions in finite interval=0.625 for size 0.001
43	#000000	#FFFFFF	1 combos with Area Under Min=1.8, Prop. predictions in finite interval=0.75 for size 0.001
44	#FFFFFF	#7F7F7F	0 combos with Area Under Min=1.8, Prop. predictions in finite interval=0.875 for size 0.001
45	#000000	#FFFFFF	1 combos with Area Under Min=2, Prop. predictions in finite interval=0.25 for size 0.001
46	#000000	#FFC0AB	4 combos with Area Under Min=2, Prop. predictions in finite interval=0.375 for size 0.001
47	#000000	#FFB59E	5 combos with Area Under Min=2, Prop. predictions in finite interval=0.5 for size 0.001
48	#000000	#FFE0D4	2 combos with Area Under Min=2, Prop. predictions in finite interval=0.625 for size 0.001
49	#FFFFFF	#7F7F7F	0 combos with Area Under Min=2, Prop. predictions in finite interval=0.75 for size 0.001
50	#000000	#FFFFFF	1 combos with Area Under Min=2.2, Prop. predictions in finite interval=0.25 for size 0.001
51	#000000	#FFFFFF	1 combos with Area Under Min=2.2, Prop. predictions in finite interval=0.375 for size 0.001
52	#000000	#FFB59E	5 combos with Area Under Min=2.2, Prop. predictions in finite interval=0.5 for size 0.001
53	#000000	#FF9F83	8 combos with Area Under Min=2.2, Prop. predictions in finite interval=0.625 for size 0.001
54	#000000	#FFB59E	5 combos with Area Under Min=2.2, Prop. predictions in finite interval=0.75 for size 0.001
55	#000000	#FFFFFF	1 combos with Area Under Min=2.2, Prop. predictions in finite interval=0.875 for size 0.001
56	#000000	#FFAD93	6 combos with Area Under Min=2.4, Prop. predictions in finite interval=0.375 for size 0.001
57	#000000	#FF8767	13 combos with Area Under Min=2.4, Prop. predictions in finite interval=0.5 for size 0.001
58	#000000	#FF8767	13 combos with Area Under Min=2.4, Prop. predictions in finite interval=0.625 for size 0.001
59	#000000	#FFAD93	6 combos with Area Under Min=2.4, Prop. predictions in finite interval=0.75 for size 0.001
60	#000000	#FFFFFF	1 combos with Area Under Min=2.4, Prop. predictions in finite interval=0.875 for size 0.001
61	#000000	#FFE0D4	2 combos with Area Under Min=2.6, Prop. predictions in finite interval=0.5 for size 0.001
62	#000000	#FFA58A	7 combos with Area Under Min=2.6, Prop. predictions in finite interval=0.625 for size 0.001
63	#000000	#FF997C	9 combos with Area Under Min=2.6, Prop. predictions in finite interval=0.75 for size 0.001
64	#000000	#FFB59E	5 combos with Area Under Min=2.6, Prop. predictions in finite interval=0.875 for size 0.001
65	#000000	#FFFFFF	1 combos with Area Under Min=2.6, Prop. predictions in finite interval=1 for size 0.001
66	#000000	#FFFFFF	1 combos with Prop. predictions in finite interval=0, Area under ROC curve=1 for size 0.001
67	#FFFFFF	#7F7F7F	0 combos with Prop. predictions in finite interval=0.125, Area under ROC curve=0.75 for size 0.001
68	#000000	#FFE0D4	2 combos with Prop. predictions in finite interval=0.125, Area under ROC curve=0.8333 for size 0.001
69	#FFFFFF	#7F7F7F	0 combos with Prop. predictions in finite interval=0.125, Area under ROC curve=0.9167 for size 0.001
70	#000000	#FFC0AB	4 combos with Prop. predictions in finite interval=0.125, Area under ROC curve=1 for size 0.001
71	#000000	#FFE0D4	2 combos with Prop. predictions in finite interval=0.125, Area under ROC curve=1.0833 for size 0.001
72	#FFFFFF	#7F7F7F	0 combos with Prop. predictions in finite interval=0.25, Area under ROC curve=0.5833 for size 0.001
73	#000000	#FFFFFF	1 combos with Prop. predictions in finite interval=0.25, Area under ROC curve=0.6667 for size 0.001
74	#000000	#FFC0AB	4 combos with Prop. predictions in finite interval=0.25, Area under ROC curve=0.75 for size 0.001
75	#000000	#FFAD93	6 combos with Prop. predictions in finite interval=0.25, Area under ROC curve=0.8333 for size 0.001
76	#000000	#FFE0D4	2 combos with Prop. predictions in finite interval=0.25, Area under ROC curve=0.9167 for size 0.001
77	#000000	#FFAD93	6 combos with Prop. predictions in finite interval=0.25, Area under ROC curve=1 for size 0.001
