xmin	xmax	ymin	ymax	key	showSelected2	PANEL
0.5	0.666666666666667	0	0.5	5	1	1
0.666666666666667	0.833333333333333	0	0.5	6	1	1
0.666666666666667	0.833333333333333	0	0.5	7	1	1
0.666666666666667	0.833333333333333	0	1	9	1	1
0.666666666666667	0.833333333333333	0	1	10	1	1
0.5	0.666666666666667	0	1	11	1	1
0.333333333333333	0.5	0	1	12	1	1
0.166666666666667	0.333333333333333	0	1	13	1	1
0	0.166666666666667	0	1	14	1	1
0	0.166666666666667	0	1	15	1	1
0.166666666666667	0.333333333333333	0	1	16	1	1
0.333333333333333	0.5	0	1	17	1	1
0.5	0.666666666666667	0	1	18	1	1
0.666666666666667	0.833333333333333	0	1	19	1	1
0.833333333333333	1	0	0.5	21	1	1
0	0.166666666666667	0	0.5	4	2	1
0.166666666666667	0.333333333333333	0	0.5	5	2	1
0.333333333333333	0.5	0	0.5	6	2	1
0.5	0.666666666666667	0	1	8	2	1
0.666666666666667	0.833333333333333	0	1	9	2	1
0.666666666666667	0.833333333333333	0	1	10	2	1
0.666666666666667	0.833333333333333	0	1	11	2	1
0.666666666666667	0.833333333333333	0	1	12	2	1
0.5	0.666666666666667	0	1	13	2	1
0.333333333333333	0.5	0	1	14	2	1
0.166666666666667	0.333333333333333	0	1	15	2	1
0	0.166666666666667	0	1	16	2	1
0	0.166666666666667	0	1	17	2	1
0.166666666666667	0.333333333333333	0	1	18	2	1
0.333333333333333	0.5	0	1	19	2	1
0.5	0.666666666666667	0	1	20	2	1
0.666666666666667	0.833333333333333	0	1	21	2	1
0.833333333333333	1	0	1	22	2	1
0	0.166666666666667	0	0.5	4	3	1
0.166666666666667	0.333333333333333	0	0.5	5	3	1
0.333333333333333	0.5	0	0.5	6	3	1
0.5	0.666666666666667	0	0.5	7	3	1
0.666666666666667	0.833333333333333	0	0.5	8	3	1
0.666666666666667	0.833333333333333	0	0.5	9	3	1
0.666666666666667	0.833333333333333	0	1	11	3	1
0.666666666666667	0.833333333333333	0	1	12	3	1
0.5	0.666666666666667	0	1	13	3	1
