x	y	key	label	showSelected2	PANEL	group
0.583333333333333	0.333333333333333	0.5 0.666666666666667 0.5	0.083	1	1	19
0.75	0.333333333333333	0.666666666666667 0.833333333333333 0.5	0.083	1	1	23
0.75	0.583333333333333	0.666666666666667 0.833333333333333 1	0.333	1	1	24
0.0833333333333333	0.583333333333333	0 0.166666666666667 1	0.167	1	1	2
0.25	0.583333333333333	0.166666666666667 0.333333333333333 1	0.167	1	1	9
0.416666666666667	0.583333333333333	0.333333333333333 0.5 1	0.167	1	1	15
0.583333333333333	0.583333333333333	0.5 0.666666666666667 1	0.167	1	1	20
0.916666666666667	0.333333333333333	0.833333333333333 1 0.5	0.083	1	1	26
0.583333333333333	0.333333333333333	0.5 0.666666666666667 0.5	0.083	2	1	19
0.75	0.333333333333333	0.666666666666667 0.833333333333333 0.5	0.167	2	1	23
0.0833333333333333	0.583333333333333	0 0.166666666666667 1	0.167	2	1	2
0.25	0.583333333333333	0.166666666666667 0.333333333333333 1	0.167	2	1	9
0.416666666666667	0.583333333333333	0.333333333333333 0.5 1	0.167	2	1	15
0.583333333333333	0.583333333333333	0.5 0.666666666666667 1	0.167	2	1	20
0.75	0.583333333333333	0.666666666666667 0.833333333333333 1	0.167	2	1	24
0.916666666666667	0.583333333333333	0.833333333333333 1 1	0.167	2	1	27
0.25	0.333333333333333	0.166666666666667 0.333333333333333 0.5	0.083	3	1	8
0.416666666666667	0.333333333333333	0.333333333333333 0.5 0.5	0.083	3	1	14
0.75	0.333333333333333	0.666666666666667 0.833333333333333 0.5	0.083	3	1	23
0.0833333333333333	0.583333333333333	0 0.166666666666667 1	0.167	3	1	2
0.25	0.583333333333333	0.166666666666667 0.333333333333333 1	0.167	3	1	9
0.416666666666667	0.583333333333333	0.333333333333333 0.5 1	0.167	3	1	15
0.583333333333333	0.583333333333333	0.5 0.666666666666667 1	0.167	3	1	20
0.75	0.583333333333333	0.666666666666667 0.833333333333333 1	0.167	3	1	24
0.916666666666667	0.333333333333333	0.833333333333333 1 0.5	0.083	3	1	26
0.25	0.333333333333333	0.166666666666667 0.333333333333333 0.5	0.083	4	1	8
0.416666666666667	0.333333333333333	0.333333333333333 0.5 0.5	0.083	4	1	14
0.0833333333333333	0.583333333333333	0 0.166666666666667 1	0.167	4	1	2
0.25	0.583333333333333	0.166666666666667 0.333333333333333 1	0.167	4	1	9
0.416666666666667	0.583333333333333	0.333333333333333 0.5 1	0.167	4	1	15
0.583333333333333	0.583333333333333	0.5 0.666666666666667 1	0.167	4	1	20
0.75	0.583333333333333	0.666666666666667 0.833333333333333 1	0.167	4	1	24
0.916666666666667	0.583333333333333	0.833333333333333 1 1	0.167	4	1	27
0.416666666666667	0.333333333333333	0.333333333333333 0.5 0.5	0.083	5	1	14
0.583333333333333	0.333333333333333	0.5 0.666666666666667 0.5	0.083	5	1	19
0.75	0.583333333333333	0.666666666666667 0.833333333333333 1	0.333	5	1	24
0.0833333333333333	0.583333333333333	0 0.166666666666667 1	0.167	5	1	2
0.25	0.583333333333333	0.166666666666667 0.333333333333333 1	0.167	5	1	9
0.416666666666667	0.583333333333333	0.333333333333333 0.5 1	0.167	5	1	15
0.583333333333333	0.583333333333333	0.5 0.666666666666667 1	0.167	5	1	20
0.916666666666667	0.583333333333333	0.833333333333333 1 1	0.167	5	1	27
0.416666666666667	0.333333333333333	0.333333333333333 0.5 0.5	0.083	6	1	14
0.583333333333333	0.333333333333333	0.5 0.666666666666667 0.5	0.083	6	1	19
0.75	0.333333333333333	0.666666666666667 0.833333333333333 0.5	0.083	6	1	23
0.0833333333333333	0.583333333333333	0 0.166666666666667 1	0.167	6	1	2
0.25	0.583333333333333	0.166666666666667 0.333333333333333 1	0.167	6	1	9
0.416666666666667	0.583333333333333	0.333333333333333 0.5 1	0.167	6	1	15
0.583333333333333	0.583333333333333	0.5 0.666666666666667 1	0.167	6	1	20
0.75	0.583333333333333	0.666666666666667 0.833333333333333 1	0.167	6	1	24
0.916666666666667	0.583333333333333	0.833333333333333 1 1	0.167	6	1	27
0.916666666666667	0.333333333333333	0.833333333333333 1 0.5	0.083	6	1	26
0.25	0.333333333333333	0.166666666666667 0.333333333333333 0.5	0.083	7	1	8
0.75	0.333333333333333	0.666666666666667 0.833333333333333 0.5	0.083	7	1	23
0.0833333333333333	0.583333333333333	0 0.166666666666667 1	0.167	7	1	2
0.25	0.583333333333333	0.166666666666667 0.333333333333333 1	0.167	7	1	9
0.416666666666667	0.583333333333333	0.333333333333333 0.5 1	0.167	7	1	15
0.583333333333333	0.583333333333333	0.5 0.666666666666667 1	0.167	7	1	20
0.75	0.583333333333333	0.666666666666667 0.833333333333333 1	0.167	7	1	24
0.916666666666667	0.583333333333333	0.833333333333333 1 1	0.167	7	1	27
0.916666666666667	0.333333333333333	0.833333333333333 1 0.5	0.083	7	1	26
0.25	0.333333333333333	0.166666666666667 0.333333333333333 0.5	0.083	8	1	8
0.0833333333333333	0.583333333333333	0 0.166666666666667 1	0.167	8	1	2
0.25	0.583333333333333	0.166666666666667 0.333333333333333 1	0.167	8	1	9
0.416666666666667	0.583333333333333	0.333333333333333 0.5 1	0.167	8	1	15
0.583333333333333	0.583333333333333	0.5 0.666666666666667 1	0.167	8	1	20
0.75	0.583333333333333	0.666666666666667 0.833333333333333 1	0.167	8	1	24
0.916666666666667	0.583333333333333	0.833333333333333 1 1	0.333	8	1	27
0.583333333333333	0.333333333333333	0.5 0.666666666666667 0.5	0.083	9	1	19
0.583333333333333	0.583333333333333	0.5 0.666666666666667 1	0.333	9	1	20
0.0833333333333333	0.583333333333333	0 0.166666666666667 1	0.167	9	1	2
0.25	0.583333333333333	0.166666666666667 0.333333333333333 1	0.167	9	1	9
0.416666666666667	0.583333333333333	0.333333333333333 0.5 1	0.167	9	1	15
