key	showSelected2	PANEL	group
1	1	2	1
1	1	2	2
1	1	2	3
1	2	2	4
1	2	2	5
1	2	2	6
1	3	2	7
1	3	2	8
1	3	2	9
1	4	2	10
1	4	2	11
1	4	2	12
1	5	2	13
1	5	2	14
1	5	2	15
1	6	2	16
1	6	2	17
1	6	2	18
1	7	2	19
1	7	2	20
1	7	2	21
1	8	2	22
1	8	2	23
1	8	2	24
1	9	2	25
1	9	2	26
1	9	2	27
1	10	2	28
1	10	2	29
1	10	2	30
1	11	2	31
1	11	2	32
1	11	2	33
1	12	2	34
1	12	2	35
1	12	2	36
1	13	2	37
1	13	2	38
1	13	2	39
1	14	2	40
1	14	2	41
1	14	2	42
1	15	2	43
1	15	2	44
1	15	2	45
1	16	2	46
1	16	2	47
1	16	2	48
1	17	2	49
1	17	2	50
1	17	2	51
1	18	2	52
1	18	2	53
1	18	2	54
1	19	2	55
1	19	2	56
1	19	2	57
1	20	2	58
1	20	2	59
1	20	2	60
1	21	2	61
1	21	2	62
1	21	2	63
1	22	2	64
1	22	2	65
1	22	2	66
1	23	2	67
1	23	2	68
1	23	2	69
1	24	2	70
1	24	2	71
1	24	2	72
1	25	2	73
1	25	2	74
1	25	2	75
1	26	2	76
1	26	2	77
1	26	2	78
1	27	2	79
1	27	2	80
1	27	2	81
1	28	2	82
1	28	2	83
1	28	2	84
1	29	2	85
1	29	2	86
1	29	2	87
1	30	2	88
1	30	2	89
1	30	2	90
1	31	2	91
1	31	2	92
1	31	2	93
1	32	2	94
1	32	2	95
1	32	2	96
1	33	2	97
1	33	2	98
1	33	2	99
1	34	2	100
1	34	2	101
1	34	2	102
1	35	2	103
1	35	2	104
1	35	2	105
1	36	2	106
1	36	2	107
1	36	2	108
1	37	2	109
1	37	2	110
1	37	2	111
1	38	2	112
1	38	2	113
1	38	2	114
1	39	2	115
1	39	2	116
1	39	2	117
1	40	2	118
1	40	2	119
1	40	2	120
1	41	2	121
1	41	2	122
1	41	2	123
1	42	2	124
1	42	2	125
1	42	2	126
1	43	2	127
1	43	2	128
1	43	2	129
1	44	2	130
1	44	2	131
1	44	2	132
1	45	2	133
1	45	2	134
1	45	2	135
1	46	2	136
1	46	2	137
1	46	2	138
1	47	2	139
1	47	2	140
1	47	2	141
1	48	2	142
1	48	2	143
1	48	2	144
1	49	2	145
1	49	2	146
1	49	2	147
1	50	2	148
1	50	2	149
1	50	2	150
1	51	2	151
1	51	2	152
1	51	2	153
1	52	2	154
1	52	2	155
1	52	2	156
1	53	2	157
1	53	2	158
1	53	2	159
1	54	2	160
1	54	2	161
1	54	2	162
1	55	2	163
1	55	2	164
1	55	2	165
1	56	2	166
1	56	2	167
1	56	2	168
1	57	2	169
1	57	2	170
1	57	2	171
1	58	2	172
1	58	2	173
1	58	2	174
1	59	2	175
1	59	2	176
1	59	2	177
1	60	2	178
1	60	2	179
1	60	2	180
1	61	2	181
1	61	2	182
1	61	2	183
1	62	2	184
1	62	2	185
1	62	2	186
1	63	2	187
1	63	2	188
1	63	2	189
1	64	2	190
1	64	2	191
1	64	2	192
1	65	2	193
1	65	2	194
1	65	2	195
1	66	2	196
1	66	2	197
1	66	2	198
1	67	2	199
1	67	2	200
1	67	2	201
1	68	2	202
1	68	2	203
1	68	2	204
1	69	2	205
1	69	2	206
1	69	2	207
1	70	2	208
1	70	2	209
1	70	2	210
1	71	2	211
1	71	2	212
1	71	2	213
1	72	2	214
1	72	2	215
1	72	2	216
1	73	2	217
1	73	2	218
1	73	2	219
1	74	2	220
1	74	2	221
1	74	2	222
1	75	2	223
1	75	2	224
1	75	2	225
1	76	2	226
1	76	2	227
1	76	2	228
1	77	2	229
1	77	2	230
1	77	2	231
1	78	2	232
1	78	2	233
1	78	2	234
1	79	2	235
1	79	2	236
1	79	2	237
1	80	2	238
1	80	2	239
1	80	2	240
1	81	2	241
1	81	2	242
1	81	2	243
1	82	2	244
1	82	2	245
1	82	2	246
1	83	2	247
1	83	2	248
1	83	2	249
1	84	2	250
1	84	2	251
1	84	2	252
1	85	2	253
1	85	2	254
1	85	2	255
1	86	2	256
1	86	2	257
1	86	2	258
1	87	2	259
1	87	2	260
1	87	2	261
1	88	2	262
1	88	2	263
1	88	2	264
1	89	2	265
1	89	2	266
1	89	2	267
1	90	2	268
1	90	2	269
1	90	2	270
1	91	2	271
1	91	2	272
1	91	2	273
1	92	2	274
1	92	2	275
1	92	2	276
1	93	2	277
1	93	2	278
1	93	2	279
1	94	2	280
1	94	2	281
1	94	2	282
1	95	2	283
1	95	2	284
1	95	2	285
1	96	2	286
1	96	2	287
1	96	2	288
1	97	2	289
1	97	2	290
1	97	2	291
1	98	2	292
1	98	2	293
1	98	2	294
1	99	2	295
1	99	2	296
1	99	2	297
1	100	2	298
1	100	2	299
1	100	2	300
1	101	2	301
1	101	2	302
1	101	2	303
1	102	2	304
1	102	2	305
1	102	2	306
1	103	2	307
1	103	2	308
1	103	2	309
1	104	2	310
1	104	2	311
1	104	2	312
1	105	2	313
1	105	2	314
1	105	2	315
1	106	2	316
1	106	2	317
1	106	2	318
1	107	2	319
1	107	2	320
1	107	2	321
1	108	2	322
1	108	2	323
1	108	2	324
1	109	2	325
1	109	2	326
1	109	2	327
1	110	2	328
1	110	2	329
1	110	2	330
1	111	2	331
1	111	2	332
1	111	2	333
1	112	2	334
1	112	2	335
1	112	2	336
1	113	2	337
1	113	2	338
1	113	2	339
1	114	2	340
1	114	2	341
1	114	2	342
1	115	2	343
1	115	2	344
1	115	2	345
1	116	2	346
1	116	2	347
1	116	2	348
1	117	2	349
1	117	2	350
1	117	2	351
1	118	2	352
1	118	2	353
1	118	2	354
1	119	2	355
1	119	2	356
1	119	2	357
1	120	2	358
1	120	2	359
1	120	2	360
1	121	2	361
1	121	2	362
1	121	2	363
1	122	2	364
1	122	2	365
1	122	2	366
1	123	2	367
1	123	2	368
1	123	2	369
1	124	2	370
1	124	2	371
1	124	2	372
1	125	2	373
1	125	2	374
1	125	2	375
1	126	2	376
1	126	2	377
1	126	2	378
1	127	2	379
1	127	2	380
1	127	2	381
1	128	2	382
1	128	2	383
1	128	2	384
1	129	2	385
1	129	2	386
1	129	2	387
1	130	2	388
1	130	2	389
1	130	2	390
1	131	2	391
1	131	2	392
1	131	2	393
1	132	2	394
1	132	2	395
1	132	2	396
1	133	2	397
1	133	2	398
1	133	2	399
1	134	2	400
1	134	2	401
1	134	2	402
1	135	2	403
1	135	2	404
1	135	2	405
1	136	2	406
1	136	2	407
1	136	2	408
1	137	2	409
1	137	2	410
1	137	2	411
1	138	2	412
1	138	2	413
1	138	2	414
1	139	2	415
1	139	2	416
1	139	2	417
1	140	2	418
1	140	2	419
1	140	2	420
1	141	2	421
1	141	2	422
1	141	2	423
1	142	2	424
1	142	2	425
1	142	2	426
1	143	2	427
1	143	2	428
1	143	2	429
1	144	2	430
1	144	2	431
