group	colour	fill	tooltip
1	#000000	#FFFCFB	1 combos with Area under both=0, Prop. predictions in finite interval=0 for size 100
2	#000000	#FFE8E0	8 combos with Area under both=0, Prop. predictions in finite interval=0.125 for size 100
3	#000000	#FFD1C2	16 combos with Area under both=0, Prop. predictions in finite interval=0.25 for size 100
4	#000000	#FFC6B3	20 combos with Area under both=0, Prop. predictions in finite interval=0.375 for size 100
5	#000000	#FFD4C5	15 combos with Area under both=0, Prop. predictions in finite interval=0.5 for size 100
6	#000000	#FFEEE8	6 combos with Area under both=0, Prop. predictions in finite interval=0.625 for size 100
7	#000000	#FFFCFB	1 combos with Area under both=0, Prop. predictions in finite interval=0.75 for size 100
8	#FFFFFF	#FFFFFF	0 combos with Area under both=0.2, Prop. predictions in finite interval=0.125 for size 100
9	#000000	#FFF6F3	3 combos with Area under both=0.2, Prop. predictions in finite interval=0.25 for size 100
10	#000000	#FFF6F3	3 combos with Area under both=0.2, Prop. predictions in finite interval=0.375 for size 100
11	#000000	#FFFCFB	1 combos with Area under both=0.2, Prop. predictions in finite interval=0.5 for size 100
12	#FFFFFF	#FFFFFF	0 combos with Area under both=0.4, Prop. predictions in finite interval=0.125 for size 100
13	#000000	#FFF9F7	2 combos with Area under both=0.4, Prop. predictions in finite interval=0.25 for size 100
14	#000000	#FFEBE4	7 combos with Area under both=0.4, Prop. predictions in finite interval=0.375 for size 100
15	#000000	#FFE5DC	9 combos with Area under both=0.4, Prop. predictions in finite interval=0.5 for size 100
16	#000000	#FFF1EC	5 combos with Area under both=0.4, Prop. predictions in finite interval=0.625 for size 100
17	#000000	#FFFCFB	1 combos with Area under both=0.4, Prop. predictions in finite interval=0.75 for size 100
18	#FFFFFF	#FFFFFF	0 combos with Area under both=0.6, Prop. predictions in finite interval=0.125 for size 100
19	#000000	#FFF4EF	4 combos with Area under both=0.6, Prop. predictions in finite interval=0.25 for size 100
20	#000000	#FFE8E0	8 combos with Area under both=0.6, Prop. predictions in finite interval=0.375 for size 100
21	#000000	#FFFCFB	1 combos with Area under both=0.6, Prop. predictions in finite interval=0.5 for size 100
22	#FFFFFF	#FFFFFF	0 combos with Area under both=0.6, Prop. predictions in finite interval=0.625 for size 100
23	#FFFFFF	#FFFFFF	0 combos with Area under both=0.6, Prop. predictions in finite interval=0.75 for size 100
24	#000000	#FFFCFB	1 combos with Area under both=0.8, Prop. predictions in finite interval=0.25 for size 100
25	#000000	#FFEBE4	7 combos with Area under both=0.8, Prop. predictions in finite interval=0.375 for size 100
26	#000000	#FFDDD1	12 combos with Area under both=0.8, Prop. predictions in finite interval=0.5 for size 100
27	#000000	#FFEEE8	6 combos with Area under both=0.8, Prop. predictions in finite interval=0.625 for size 100
28	#000000	#FFFCFB	1 combos with Area under both=0.8, Prop. predictions in finite interval=0.75 for size 100
29	#FFFFFF	#FFFFFF	0 combos with Area under both=1, Prop. predictions in finite interval=0.375 for size 100
30	#000000	#FFEBE4	7 combos with Area under both=1, Prop. predictions in finite interval=0.5 for size 100
31	#000000	#FFE5DC	9 combos with Area under both=1, Prop. predictions in finite interval=0.625 for size 100
32	#000000	#FFF1EC	5 combos with Area under both=1, Prop. predictions in finite interval=0.75 for size 100
33	#000000	#FFFCFB	1 combos with Area under both=1, Prop. predictions in finite interval=0.875 for size 100
34	#FFFFFF	#FFFFFF	0 combos with Area under both=1.4, Prop. predictions in finite interval=0.125 for size 100
35	#FFFFFF	#FFFFFF	0 combos with Area under both=1.6, Prop. predictions in finite interval=0.125 for size 100
36	#FFFFFF	#FFFFFF	0 combos with Area under both=1.6, Prop. predictions in finite interval=0.25 for size 100
37	#FFFFFF	#FFFFFF	0 combos with Area under both=1.6, Prop. predictions in finite interval=0.375 for size 100
38	#FFFFFF	#FFFFFF	0 combos with Area under both=1.6, Prop. predictions in finite interval=0.5 for size 100
39	#000000	#FFFCFB	1 combos with Area under both=1.8, Prop. predictions in finite interval=0.25 for size 100
40	#000000	#FFF1EC	5 combos with Area under both=1.8, Prop. predictions in finite interval=0.375 for size 100
41	#000000	#FFE3D8	10 combos with Area under both=1.8, Prop. predictions in finite interval=0.5 for size 100
42	#000000	#FFE3D8	10 combos with Area under both=1.8, Prop. predictions in finite interval=0.625 for size 100
43	#000000	#FFF1EC	5 combos with Area under both=1.8, Prop. predictions in finite interval=0.75 for size 100
44	#000000	#FFFCFB	1 combos with Area under both=1.8, Prop. predictions in finite interval=0.875 for size 100
45	#FFFFFF	#FFFFFF	0 combos with Area under both=2, Prop. predictions in finite interval=0.25 for size 100
46	#FFFFFF	#FFFFFF	0 combos with Area under both=2, Prop. predictions in finite interval=0.375 for size 100
47	#FFFFFF	#FFFFFF	0 combos with Area under both=2, Prop. predictions in finite interval=0.5 for size 100
48	#FFFFFF	#FFFFFF	0 combos with Area under both=2, Prop. predictions in finite interval=0.625 for size 100
49	#FFFFFF	#FFFFFF	0 combos with Area under both=2, Prop. predictions in finite interval=0.75 for size 100
50	#000000	#FFFCFB	1 combos with Area under both=2.2, Prop. predictions in finite interval=0.25 for size 100
51	#000000	#FFEEE8	6 combos with Area under both=2.2, Prop. predictions in finite interval=0.375 for size 100
52	#000000	#FFE3D8	10 combos with Area under both=2.2, Prop. predictions in finite interval=0.5 for size 100
53	#000000	#FFE3D8	10 combos with Area under both=2.2, Prop. predictions in finite interval=0.625 for size 100
54	#000000	#FFF1EC	5 combos with Area under both=2.2, Prop. predictions in finite interval=0.75 for size 100
55	#000000	#FFFCFB	1 combos with Area under both=2.2, Prop. predictions in finite interval=0.875 for size 100
56	#FFFFFF	#FFFFFF	0 combos with Area under both=2.4, Prop. predictions in finite interval=0.375 for size 100
57	#000000	#FFF6F3	3 combos with Area under both=2.4, Prop. predictions in finite interval=0.5 for size 100
58	#000000	#FFF6F3	3 combos with Area under both=2.4, Prop. predictions in finite interval=0.625 for size 100
59	#000000	#FFFCFB	1 combos with Area under both=2.4, Prop. predictions in finite interval=0.75 for size 100
60	#FFFFFF	#FFFFFF	0 combos with Area under both=2.4, Prop. predictions in finite interval=0.875 for size 100
61	#000000	#FFF9F7	2 combos with Area under both=2.6, Prop. predictions in finite interval=0.5 for size 100
62	#000000	#FFEBE4	7 combos with Area under both=2.6, Prop. predictions in finite interval=0.625 for size 100
63	#000000	#FFE5DC	9 combos with Area under both=2.6, Prop. predictions in finite interval=0.75 for size 100
64	#000000	#FFF1EC	5 combos with Area under both=2.6, Prop. predictions in finite interval=0.875 for size 100
65	#000000	#FFFCFB	1 combos with Area under both=2.6, Prop. predictions in finite interval=1 for size 100
66	#000000	#FFFCFB	1 combos with Prop. predictions in finite interval=0, Area under ROC curve=1 for size 100
67	#FFFFFF	#FFFFFF	0 combos with Prop. predictions in finite interval=0.125, Area under ROC curve=0.75 for size 100
68	#FFFFFF	#FFFFFF	0 combos with Prop. predictions in finite interval=0.125, Area under ROC curve=0.8333 for size 100
69	#FFFFFF	#FFFFFF	0 combos with Prop. predictions in finite interval=0.125, Area under ROC curve=0.9167 for size 100
70	#000000	#FFE8E0	8 combos with Prop. predictions in finite interval=0.125, Area under ROC curve=1 for size 100
71	#FFFFFF	#FFFFFF	0 combos with Prop. predictions in finite interval=0.125, Area under ROC curve=1.0833 for size 100
72	#FFFFFF	#FFFFFF	0 combos with Prop. predictions in finite interval=0.25, Area under ROC curve=0.5833 for size 100
73	#FFFFFF	#FFFFFF	0 combos with Prop. predictions in finite interval=0.25, Area under ROC curve=0.6667 for size 100
74	#FFFFFF	#FFFFFF	0 combos with Prop. predictions in finite interval=0.25, Area under ROC curve=0.75 for size 100
75	#FFFFFF	#FFFFFF	0 combos with Prop. predictions in finite interval=0.25, Area under ROC curve=0.8333 for size 100
76	#000000	#FFE8E0	8 combos with Prop. predictions in finite interval=0.25, Area under ROC curve=0.9167 for size 100
