xmin	xmax	ymin	ymax	key	showSelected2
0	0.1	0	0	1	1
0.1	1.56330432084473	0	1	2	1
1.56330432084473	1.60634112630132	0	2	3	1
1.60634112630132	1.6720342777882	0	2	4	1
1.6720342777882	1.71217817532878	0	1	5	1
1.71217817532878	1.77036556648037	0	1	6	1
1.77036556648037	1.77920107129501	0	1	7	1
1.77920107129501	1.81015768215035	0	1	8	1
1.81015768215035	1.91015768215035	0	0	9	1
1.91015768215035	2.01015768215035	0	0	10	1
2.01015768215035	2.11015768215035	0	0	11	1
2.11015768215035	2.21015768215035	0	0	12	1
2.21015768215035	2.31015768215035	0	0	13	1
2.31015768215035	2.41015768215035	0	0	14	1
2.41015768215035	2.51015768215035	0	0	15	1
2.51015768215035	2.61015768215035	0	0	16	1
2.61015768215035	2.71015768215035	0	0	17	1
2.71015768215035	2.81015768215035	0	0	18	1
2.81015768215035	2.91015768215035	0	0	19	1
2.91015768215035	3.01015768215035	0	0	20	1
3.01015768215035	3.04111429300568	0	1	21	1
3.04111429300568	3.1482810865125	0	1	22	1
3.1482810865125	3.39992113817834	0	2	23	1
3.39992113817834	3.51878424216178	0	1	24	1
3.51878424216178	3.61878424216178	0	0	25	1
0	0.1	0	0	1	2
0.1	1.06904067618721	0	1	2	2
1.06904067618721	1.33402156809062	0	1	3	2
1.33402156809062	1.56330432084473	0	1	4	2
1.56330432084473	1.60634112630132	0	2	5	2
1.60634112630132	1.6720342777882	0	2	6	2
1.6720342777882	1.71217817532878	0	1	7	2
1.71217817532878	1.77036556648037	0	1	8	2
1.77036556648037	1.77920107129501	0	1	9	2
1.77920107129501	1.81021989030229	0	1	10	2
1.81021989030229	1.84264812810205	0	1	11	2
1.84264812810205	1.94264812810205	0	0	12	2
1.94264812810205	2.04264812810205	0	0	13	2
2.04264812810205	2.14264812810205	0	0	14	2
2.14264812810205	2.24264812810205	0	0	15	2
2.24264812810205	2.34264812810205	0	0	16	2
2.34264812810205	2.44264812810205	0	0	17	2
2.44264812810205	2.54264812810205	0	0	18	2
2.54264812810205	2.64264812810205	0	0	19	2
2.64264812810205	2.74264812810205	0	0	20	2
2.74264812810205	2.84264812810205	0	0	21	2
2.84264812810205	2.94264812810205	0	0	22	2
2.94264812810205	3.04264812810205	0	0	23	2
3.04264812810205	3.2942881797679	0	1	24	2
3.2942881797679	3.3942881797679	0	0	25	2
0	0.1	0	0	1	3
0.1	1.0497803758085	0	1	2	3
1.0497803758085	1.56330432084473	0	1	3	3
1.56330432084473	1.59100807643621	0	1	4	3
1.59100807643621	1.60634112630132	0	2	5	3
1.60634112630132	1.71217817532878	0	2	6	3
1.71217817532878	1.77036556648037	0	2	7	3
1.77036556648037	1.77920107129501	0	2	8	3
1.77920107129501	1.81015768215035	0	2	9	3
1.81015768215035	1.81021989030229	0	1	10	3
1.81021989030229	1.84264812810205	0	1	11	3
1.84264812810205	1.94264812810205	0	0	12	3
1.94264812810205	2.04264812810205	0	0	13	3
2.04264812810205	2.14264812810205	0	0	14	3
2.14264812810205	2.24264812810205	0	0	15	3
2.24264812810205	2.34264812810205	0	0	16	3
2.34264812810205	2.44264812810205	0	0	17	3
2.44264812810205	2.54264812810205	0	0	18	3
2.54264812810205	2.64264812810205	0	0	19	3
2.64264812810205	2.74264812810205	0	0	20	3
2.74264812810205	2.84264812810205	0	0	21	3
2.84264812810205	2.94264812810205	0	0	22	3
2.94264812810205	2.97360473895739	0	1	23	3
2.97360473895739	3.45127468811349	0	1	24	3
3.45127468811349	3.55127468811349	0	0	25	3
0	0.1	0	0	1	4
0.1	1.0497803758085	0	1	2	4
1.0497803758085	1.06904067618721	0	1	3	4
1.06904067618721	1.16904067618721	0	0	4	4
1.16904067618721	1.39832342894131	0	1	5	4
1.39832342894131	1.4260271845328	0	1	6	4
1.4260271845328	1.44136023439791	0	2	7	4
1.44136023439791	1.54719728342537	0	2	8	4
1.54719728342537	1.60538467457696	0	2	9	4
1.60538467457696	1.6142201793916	0	2	10	4
