xmin	xmax	ymin	ymax	key	showSelected2
0	0.1	0	0	1	1
0.1	1.56330432084473	0	1	2	1
1.56330432084473	1.60634112630132	0	2	3	1
1.60634112630132	1.6720342777882	0	2	4	1
1.6720342777882	1.71217817532878	0	1	5	1
1.71217817532878	1.77036556648037	0	1	6	1
1.77036556648037	1.77920107129501	0	1	7	1
1.77920107129501	1.81015768215035	0	1	8	1
1.81015768215035	1.91015768215035	0	0	9	1
1.91015768215035	2.01015768215035	0	0	10	1
2.01015768215035	2.11015768215035	0	0	11	1
2.11015768215035	2.21015768215035	0	0	12	1
2.21015768215035	2.31015768215035	0	0	13	1
2.31015768215035	2.41015768215035	0	0	14	1
2.41015768215035	2.51015768215035	0	0	15	1
2.51015768215035	2.61015768215035	0	0	16	1
2.61015768215035	2.71015768215035	0	0	17	1
2.71015768215035	2.81015768215035	0	0	18	1
2.81015768215035	2.91015768215035	0	0	19	1
2.91015768215035	3.01015768215035	0	0	20	1
3.01015768215035	3.04111429300568	0	1	21	1
3.04111429300568	3.1482810865125	0	1	22	1
3.1482810865125	3.39992113817834	0	2	23	1
3.39992113817834	3.51878424216178	0	1	24	1
3.51878424216178	3.61878424216178	0	0	25	1
0	0.1	0	0	1	2
0.1	1.15904067618721	0	1	2	2
1.15904067618721	1.42402156809062	0	1	3	2
1.42402156809062	1.56330432084473	0	1	4	2
1.56330432084473	1.60634112630132	0	2	5	2
1.60634112630132	1.6720342777882	0	2	6	2
1.6720342777882	1.71217817532878	0	1	7	2
1.71217817532878	1.77036556648037	0	1	8	2
1.77036556648037	1.77920107129501	0	1	9	2
1.77920107129501	1.81021989030229	0	1	10	2
1.81021989030229	1.84997530781965	0	1	11	2
1.84997530781965	1.87325496159552	0	1	12	2
1.87325496159552	1.88060064554228	0	1	13	2
1.88060064554228	1.89783494292779	0	1	14	2
1.89783494292779	1.89854226289069	0	1	15	2
1.89854226289069	1.99854226289069	0	0	16	2
1.99854226289069	2.09854226289069	0	0	17	2
2.09854226289069	2.19854226289069	0	0	18	2
2.19854226289069	2.29854226289069	0	0	19	2
2.29854226289069	2.39854226289069	0	0	20	2
2.39854226289069	2.49854226289069	0	0	21	2
2.49854226289069	2.59854226289069	0	0	22	2
2.59854226289069	2.69854226289069	0	0	23	2
2.69854226289069	2.95018231455653	0	1	24	2
2.95018231455653	3.05018231455653	0	0	25	2
0	0.1	0	0	1	3
0.1	1.1397803758085	0	1	2	3
1.1397803758085	1.56330432084473	0	1	3	3
1.56330432084473	1.60634112630132	0	1	4	3
1.60634112630132	1.68100807643621	0	1	5	3
1.68100807643621	1.71217817532878	0	2	6	3
1.71217817532878	1.77036556648037	0	2	7	3
1.77036556648037	1.77920107129501	0	2	8	3
1.77920107129501	1.81015768215035	0	2	9	3
1.81015768215035	1.81021989030229	0	1	10	3
1.81021989030229	1.84997530781965	0	1	11	3
1.84997530781965	1.87325496159552	0	1	12	3
1.87325496159552	1.88060064554228	0	1	13	3
1.88060064554228	1.89783494292779	0	1	14	3
1.89783494292779	1.89854226289069	0	1	15	3
1.89854226289069	1.99854226289069	0	0	16	3
1.99854226289069	2.09854226289069	0	0	17	3
2.09854226289069	2.19854226289069	0	0	18	3
2.19854226289069	2.29854226289069	0	0	19	3
2.29854226289069	2.39854226289069	0	0	20	3
2.39854226289069	2.49854226289069	0	0	21	3
2.49854226289069	2.59854226289069	0	0	22	3
2.59854226289069	2.62949887374603	0	1	23	3
2.62949887374603	3.10716882290212	0	1	24	3
3.10716882290212	3.20716882290212	0	0	25	3
0	0.1	0	0	1	4
0.1	1.1397803758085	0	1	2	4
1.1397803758085	1.15904067618721	0	1	3	4
1.15904067618721	1.25904067618721	0	0	4	4
1.25904067618721	1.39832342894131	0	1	5	4
1.39832342894131	1.44136023439791	0	1	6	4
1.44136023439791	1.5160271845328	0	1	7	4
1.5160271845328	1.54719728342537	0	2	8	4
1.54719728342537	1.60538467457696	0	2	9	4
1.60538467457696	1.6142201793916	0	2	10	4
