group	colour	fill	tooltip
1	#000000	#FFFFFF	1 combos with Area Under Min=0, Prop. predictions in finite interval=0 for size 1
2	#000000	#FFA58A	7 combos with Area Under Min=0, Prop. predictions in finite interval=0.125 for size 1
3	#000000	#FF8F70	11 combos with Area Under Min=0, Prop. predictions in finite interval=0.25 for size 1
4	#000000	#FF9476	10 combos with Area Under Min=0, Prop. predictions in finite interval=0.375 for size 1
5	#000000	#FFB59E	5 combos with Area Under Min=0, Prop. predictions in finite interval=0.5 for size 1
6	#000000	#FFFFFF	1 combos with Area Under Min=0, Prop. predictions in finite interval=0.625 for size 1
7	#FFFFFF	#7F7F7F	0 combos with Area Under Min=0, Prop. predictions in finite interval=0.75 for size 1
8	#FFFFFF	#7F7F7F	0 combos with Area Under Min=0.2, Prop. predictions in finite interval=0.125 for size 1
9	#000000	#FFCDBC	3 combos with Area Under Min=0.2, Prop. predictions in finite interval=0.25 for size 1
10	#000000	#FFCDBC	3 combos with Area Under Min=0.2, Prop. predictions in finite interval=0.375 for size 1
11	#000000	#FFFFFF	1 combos with Area Under Min=0.2, Prop. predictions in finite interval=0.5 for size 1
12	#FFFFFF	#7F7F7F	0 combos with Area Under Min=0.4, Prop. predictions in finite interval=0.125 for size 1
13	#000000	#FFE0D4	2 combos with Area Under Min=0.4, Prop. predictions in finite interval=0.25 for size 1
14	#000000	#FFA58A	7 combos with Area Under Min=0.4, Prop. predictions in finite interval=0.375 for size 1
15	#000000	#FF997C	9 combos with Area Under Min=0.4, Prop. predictions in finite interval=0.5 for size 1
16	#000000	#FFB59E	5 combos with Area Under Min=0.4, Prop. predictions in finite interval=0.625 for size 1
17	#000000	#FFFFFF	1 combos with Area Under Min=0.4, Prop. predictions in finite interval=0.75 for size 1
18	#000000	#FFFFFF	1 combos with Area Under Min=0.6, Prop. predictions in finite interval=0.125 for size 1
19	#000000	#FF997C	9 combos with Area Under Min=0.6, Prop. predictions in finite interval=0.25 for size 1
20	#000000	#FF7655	18 combos with Area Under Min=0.6, Prop. predictions in finite interval=0.375 for size 1
21	#000000	#FF8F70	11 combos with Area Under Min=0.6, Prop. predictions in finite interval=0.5 for size 1
22	#000000	#FFB59E	5 combos with Area Under Min=0.6, Prop. predictions in finite interval=0.625 for size 1
23	#000000	#FFFFFF	1 combos with Area Under Min=0.6, Prop. predictions in finite interval=0.75 for size 1
24	#000000	#FFFFFF	1 combos with Area Under Min=0.8, Prop. predictions in finite interval=0.25 for size 1
25	#000000	#FFA58A	7 combos with Area Under Min=0.8, Prop. predictions in finite interval=0.375 for size 1
26	#000000	#FF8B6C	12 combos with Area Under Min=0.8, Prop. predictions in finite interval=0.5 for size 1
27	#000000	#FFAD93	6 combos with Area Under Min=0.8, Prop. predictions in finite interval=0.625 for size 1
28	#000000	#FFFFFF	1 combos with Area Under Min=0.8, Prop. predictions in finite interval=0.75 for size 1
29	#FFFFFF	#7F7F7F	0 combos with Area Under Min=1, Prop. predictions in finite interval=0.375 for size 1
30	#000000	#FFA58A	7 combos with Area Under Min=1, Prop. predictions in finite interval=0.5 for size 1
31	#000000	#FF997C	9 combos with Area Under Min=1, Prop. predictions in finite interval=0.625 for size 1
32	#000000	#FFB59E	5 combos with Area Under Min=1, Prop. predictions in finite interval=0.75 for size 1
33	#000000	#FFFFFF	1 combos with Area Under Min=1, Prop. predictions in finite interval=0.875 for size 1
34	#FFFFFF	#7F7F7F	0 combos with Area Under Min=1.4, Prop. predictions in finite interval=0.125 for size 1
35	#FFFFFF	#7F7F7F	0 combos with Area Under Min=1.6, Prop. predictions in finite interval=0.125 for size 1
36	#FFFFFF	#7F7F7F	0 combos with Area Under Min=1.6, Prop. predictions in finite interval=0.25 for size 1
37	#FFFFFF	#7F7F7F	0 combos with Area Under Min=1.6, Prop. predictions in finite interval=0.375 for size 1
38	#FFFFFF	#7F7F7F	0 combos with Area Under Min=1.6, Prop. predictions in finite interval=0.5 for size 1
